Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RST1",SW_SPST_TL3342,2,SW_Push,
"C1, C10, C2, C3, C6",0402,5,1u,
"C11, C12",0402,2,22p,
"C13, C14, C15, C16, C4, C7, C8, C9",0402,8,100n,
C5,0603,1,10u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D7, D8, D9",D_SOD-123,64,D_Small,
J3,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
J4,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,1,Conn_01x04,
"MX1, MX10, MX11, MX12, MX13, MX14, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX45, MX46, MX47, MX48, MX49, MX5, MX50, MX51, MX52, MX53, MX54, MX56, MX57, MX6, MX60, MX62, MX63, MX64, MX7, MX8, MX9",SW_MX_1u,58,MX_SW_solder,
"MX15, MX58, MX59, MX61",SW_MX_1.5u,4,MX_SW_solder,
"MX30, MX55",SW_MX_1.75u,2,MX_SW_solder,
"R3, R4, R6",0402,3,5.1k,
"R5, R9",0402,2,1k,
"R7, R8",0402,2,27,
S1,STAB_MX_P_7u,1,MX_stab,
"S2, S3",STAB_MX_P_2.25u,2,MX_stab,
S4,STAB_MX_P_2u,1,MX_stab,
U1,SOT-23-3,1,XC6206PxxxMR,
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
